,Team(s),ID,MLB ID,Pos,Bats,Throws,NAME,NAME_TEAM
437,SEA,68099,596271,P,R,R,CASEY LAWRENCE,CASEY LAWRENCE SEA
438,SEA,61051,502190,P,R,R,MIKE LEAKE,MIKE LEAKE SEA
439,SEA,51959,453281,P,L,L,WADE LEBLANC,WADE LEBLANC SEA
440,TEX,69377,600917,P,R,R,JOSE LECLERC,JOSE LECLERC TEX
441,MIA,105149,657658,CF,L,R,BRAXTON LEE,BRAXTON LEE MIA
442,COL,59339,518934,2B,R,R,DJ LEMAHIEU,DJ LEMAHIEU COL
443,BOS,55951,506702,C,B,R,SANDY LEON,SANDY LEON BOS
444,SLN,100305,608678,P,R,R,DOMINIC LEONE,DOMINIC LEONE SLN
445,CHN,45548,452657,P,L,L,JON LESTER,JON LESTER CHN
446,LAN,66565,571893,P,L,L,ADAM LIBERATORE,ADAM LIBERATORE LAN
447,BOS,101601,624407,3B,L,R,TZU-WEI LIN,TZU-WEI LIN BOS
448,CLE,70399,596019,SS,B,R,FRANCISCO LINDOR,FRANCISCO LINDOR CLE
449,DET,38551,434538,P,L,L,FRANCISCO LIRIANO,FRANCISCO LIRIANO DET
450,PHI,68781,594902,P,R,R,BEN LIVELY,BEN LIVELY PHI
451,NYN,47910,446653,C,B,R,JOSE LOBATON,JOSE LOBATON NYN
452,SFN,52448,446334,3B,R,R,EVAN LONGORIA,EVAN LONGORIA SFN
453,MIL,70464,605347,P,R,R,JORGE LOPEZ,JORGE LOPEZ MIL
454,SDN,69886,607257,C,L,R,RAFAEL LOPEZ,RAFAEL LOPEZ SDN
455,CHA,101728,625643,P,R,R,REYNALDO LOPEZ,REYNALDO LOPEZ CHA
456,TOR,60619,571901,P,L,L,AARON LOUP,AARON LOUP TOR
457,OAK,46262,476704,SS,B,R,JED LOWRIE,JED LOWRIE OAK
458,SDN,108123,664192,P,L,L,JOEY LUCCHESI,JOEY LUCCHESI SDN
459,OAK,57191,518960,C,R,R,JONATHAN LUCROY,JONATHAN LUCROY OAK
460,NYN,70069,607625,P,R,R,SETH LUGO,SETH LUGO NYN
461,SDN,58407,543475,P,R,R,JORDAN LYLES,JORDAN LYLES SDN
462,MIN,58410,458681,P,B,R,LANCE LYNN,LANCE LYNN MIN
463,SLN,68438,544928,P,L,L,TYLER LYONS,TYLER LYONS SLN
464,DET,66105,553988,2B,R,R,DIXON MACHADO,DIXON MACHADO DET
465,BAL,67049,592518,3B,R,R,MANNY MACHADO,MANNY MACHADO BAL
466,WAS,31537,425492,P,L,R,RYAN MADSON,RYAN MADSON WAS
